"","Healthy controls Mean","Non-deficit SZ SD","Healthy controls SD","Deficit SZ Mean","Non-deficit SZ Mean","Deficit SZ SD"
"Left volume (mm^3)",2632.81907894737,703.499676141461,2719.89224137931,721.744839629217,2852.09558823529,844.467277907133
"Right volume (mm^3)",2312.09868421053,675.068002227612,2159.16810344828,545.068747994255,2203.08823529412,647.309384292833
"Left thickness (mm)",3.08710505263158,0.26789795567928,3.01885137931035,0.243956035602241,2.97896029411765,0.248441718121805
"Right thickness (mm)",3.23870688815789,0.292952410291053,3.20611072413793,0.282570859248569,3.17398744117647,0.246680789708638
"Left surface area (mm^2)",939.779394736842,208.558473467695,972.455310344828,203.653160568071,1041.27041176471,279.017030465449
"Right surface area (mm^2)",898.693946666667,213.595676345734,862.520482758621,182.497978089117,876.983647058824,220.992292479269
